il;yıl;ay;konutfiyatendeksi
İstanbul;2019;1;100.2
İstanbul;2019;2;99.7
İstanbul;2019;3;99.6
İstanbul;2019;4;100
İstanbul;2019;5;100.4
İstanbul;2019;6;100.5
İstanbul;2019;7;99.9
İstanbul;2019;8;101.5
İstanbul;2019;9;102
İstanbul;2019;10;103.2
İstanbul;2019;11;104.5
İstanbul;2019;12;105.7
İstanbul;2020;1;107.4
İstanbul;2020;2;109.8
İstanbul;2020;3;111.2
İstanbul;2020;4;113.1
İzmir;2019;1;111
İzmir;2019;2;112.5
İzmir;2019;3;113.5
İzmir;2019;4;113.1
İzmir;2019;5;114.6
İzmir;2019;6;115.3
İzmir;2019;7;116.3
İzmir;2019;8;119.8
İzmir;2019;9;120.9
İzmir;2019;10;121.8
İzmir;2019;11;123
İzmir;2019;12;125
İzmir;2020;1;127.3
İzmir;2020;2;130.5
İzmir;2020;3;132
İzmir;2020;4;133.5
